order_id,origin_hub,destination_town,distance_km,vehicle_type,road_condition,weather,traffic_level,order_type,num_stops,package_weight_kg,rider_experience_years,time_of_day,day_of_week,is_weekend,network_signal,delivery_time_minutes
ORD10000,Birnin Kebbi Hub,Argungu,56.3,Motorcycle,Unpaved,Clear,Medium,Documents,0,14.0,2.7,Midday,Tuesday,False,Strong,151.3
ORD10001,Birnin Kebbi Hub,Bunza,40.0,Motorcycle,Unpaved,Clear,Low,Parcel,0,2.4,1.3,Evening,Monday,False,Strong,92.8
ORD10002,Birnin Kebbi Hub,Kamba,129.9,Motorcycle,Paved,Rain,Low,Food,0,9.6,4.2,Midday,Thursday,False,Strong,245.4
ORD10003,Birnin Kebbi Hub,Birnin Kebbi,8.4,Truck,Unpaved,Rain,High,Food,3,0.4,0.9,Morning,Tuesday,False,No Signal,111.4
ORD10004,Birnin Kebbi Hub,Kamba,124.0,Motorcycle,Paved,Clear,Low,Parcel,0,0.9,0.8,Morning,Monday,False,Weak,155.1
ORD10005,Birnin Kebbi Hub,Yauri,171.5,Van,Paved,Clear,Low,Food,1,3.6,3.0,Evening,Saturday,True,Weak,184.3
ORD10006,Birnin Kebbi Hub,Zuru,163.2,Motorcycle,Paved,Rain,Low,Parcel,2,2.6,1.0,Morning,Saturday,True,Strong,307.5
ORD10007,Birnin Kebbi Hub,Birnin Kebbi,10.6,Truck,Paved,Clear,High,Food,0,0.4,0.5,Evening,Wednesday,False,Strong,33.8
ORD10008,Birnin Kebbi Hub,Birnin Kebbi,7.4,Motorcycle,Paved,Rain,Low,Parcel,0,3.1,1.8,Morning,Wednesday,False,Strong,24.1
ORD10009,Birnin Kebbi Hub,Birnin Kebbi,5.0,Keke (Tricycle),Paved,Clear,Low,Parcel,1,5.0,1.5,Morning,Wednesday,False,Weak,34.3
ORD10010,Birnin Kebbi Hub,Bunza,55.6,Keke (Tricycle),Paved,Clear,Low,Documents,0,16.4,0.3,Evening,Monday,False,Strong,126.4
ORD10011,Birnin Kebbi Hub,Jega,55.5,Motorcycle,Unpaved,Clear,High,Parcel,0,11.3,3.0,Afternoon,Thursday,False,Weak,207.5
ORD10012,Birnin Kebbi Hub,Birnin Kebbi,9.7,Motorcycle,Unpaved,Clear,Medium,Parcel,4,13.5,2.9,Evening,Wednesday,False,Strong,60.5
ORD10013,Birnin Kebbi Hub,Jega,48.0,Van,Unpaved,Clear,High,Bulk Goods,2,31.8,3.3,Morning,Saturday,True,Weak,199.5
ORD10014,Birnin Kebbi Hub,Zuru,154.3,Keke (Tricycle),Paved,Clear,Medium,Food,2,4.3,3.5,Afternoon,Wednesday,False,Strong,351.7
ORD10015,Birnin Kebbi Hub,Aliero,31.6,Motorcycle,Unpaved,Harmattan Dust,Medium,Food,1,2.7,3.4,Morning,Monday,False,Strong,110.3
ORD10016,Birnin Kebbi Hub,Aliero,27.5,Van,Unpaved,Rain,Low,Food,1,15.7,1.8,Evening,Friday,False,Strong,95.5
ORD10017,Birnin Kebbi Hub,Argungu,51.4,Motorcycle,Unpaved,Harmattan Dust,Low,Parcel,1,1.8,1.0,Midday,Monday,False,Strong,135.2
ORD10018,Birnin Kebbi Hub,Zuru,141.1,Motorcycle,Unpaved,Clear,Low,Parcel,1,0.9,3.1,Evening,Saturday,True,No Signal,294.8
ORD10019,Birnin Kebbi Hub,Birnin Kebbi,3.0,Keke (Tricycle),Paved,Clear,Medium,Parcel,1,0.2,1.0,Morning,Thursday,False,Strong,25.3
ORD10020,Birnin Kebbi Hub,Kamba,180.1,Keke (Tricycle),Unpaved,Rain,Medium,Parcel,2,1.3,7.0,Midday,Tuesday,False,Strong,1089.3
ORD10021,Birnin Kebbi Hub,Birnin Kebbi,9.3,Motorcycle,Paved,Clear,Medium,Food,0,12.4,2.9,Midday,Wednesday,False,Strong,36.5
ORD10022,Birnin Kebbi Hub,Argungu,63.1,Motorcycle,Paved,Clear,Low,Food,0,3.8,7.1,Morning,Thursday,False,Strong,78.9
ORD10023,Birnin Kebbi Hub,Jega,70.5,Keke (Tricycle),Paved,Clear,Medium,Parcel,1,11.3,0.3,Morning,Friday,False,Weak,190.2
ORD10024,Birnin Kebbi Hub,Aliero,36.8,Van,Paved,Clear,Low,Parcel,0,4.6,2.0,Midday,Friday,False,Weak,44.4
ORD10025,Birnin Kebbi Hub,Zuru,172.3,Keke (Tricycle),Unpaved,Harmattan Dust,High,Parcel,0,5.6,0.3,Midday,Sunday,True,No Signal,1237.2
ORD10026,Birnin Kebbi Hub,Jega,65.2,Van,Unpaved,Clear,Medium,Documents,0,9.0,1.5,Afternoon,Friday,False,No Signal,169.1
ORD10027,Birnin Kebbi Hub,Aliero,32.4,Truck,Unpaved,Clear,Low,Parcel,0,4.5,3.7,Evening,Friday,False,Weak,91.8
ORD10028,Birnin Kebbi Hub,Birnin Kebbi,1.8,Van,Paved,Clear,Low,Documents,1,0.4,6.7,Evening,Tuesday,False,Strong,8.0
ORD10029,Birnin Kebbi Hub,Kamba,141.3,Van,Paved,Harmattan Dust,High,Food,0,4.9,0.1,Afternoon,Tuesday,False,Strong,335.6
ORD10030,Birnin Kebbi Hub,Argungu,60.5,Keke (Tricycle),Unpaved,Rain,High,Documents,1,1.1,0.5,Afternoon,Monday,False,Strong,460.4
ORD10031,Birnin Kebbi Hub,Jega,62.5,Truck,Paved,Clear,Low,Bulk Goods,3,32.1,1.2,Midday,Saturday,True,Strong,136.9
ORD10032,Birnin Kebbi Hub,Zuru,176.9,Motorcycle,Paved,Clear,Medium,Parcel,0,1.2,1.3,Morning,Wednesday,False,Weak,247.9
